Date : 2026-06-01 09:50:49
Directory : /home/developer/projects/open-navigator
Total : 159 files,  5268 codes, 1749 comments, 888 blanks, all 7905 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| MS SQL             |         91 |      2,577 |      1,374 |        458 |      4,409 |
| YAML               |         12 |      1,370 |         10 |         31 |      1,411 |
| Python             |         33 |      1,077 |        243 |        219 |      1,539 |
| R                  |          4 |        545 |         94 |        117 |        756 |
| Markdown           |          9 |        200 |          0 |         51 |        251 |
| Shell Script       |          2 |         54 |         23 |         10 |         87 |
| TypeScript JSX     |          3 |         40 |          3 |          0 |         43 |
| TypeScript         |          1 |          7 |          2 |          1 |         10 |
| JSON with Comments |          1 |        -26 |          0 |         -1 |        -27 |
| JSON               |          3 |       -576 |          0 |          2 |       -574 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |        159 |      5,268 |      1,749 |        888 |      7,905 |
| . (Files)                                                                                                                                    |          3 |         94 |          6 |         29 |        129 |
| .claude                                                                                                                                      |          5 |       -211 |          0 |        -27 |       -238 |
| .claude (Files)                                                                                                                              |          1 |        -26 |          0 |         -1 |        -27 |
| .claude/agents                                                                                                                               |          4 |       -185 |          0 |        -26 |       -211 |
| .github                                                                                                                                      |          1 |          0 |          3 |          0 |          3 |
| .github/workflows                                                                                                                            |          1 |          0 |          3 |          0 |          3 |
| api                                                                                                                                          |          8 |       -238 |       -426 |        -53 |       -717 |
| api (Files)                                                                                                                                  |          1 |        -34 |          3 |        -14 |        -45 |
| api/batch_jobs                                                                                                                               |          1 |         10 |         92 |          0 |        102 |
| api/routes                                                                                                                                   |          6 |       -214 |       -521 |        -39 |       -774 |
| dbt_project                                                                                                                                  |         84 |      3,164 |        839 |        339 |      4,342 |
| dbt_project/analyses                                                                                                                         |          1 |         65 |          9 |         10 |         84 |
| dbt_project/macros                                                                                                                           |         12 |        182 |        126 |         13 |        321 |
| dbt_project/models                                                                                                                           |         70 |      2,910 |        701 |        314 |      3,925 |
| dbt_project/models/bronze                                                                                                                    |          2 |          0 |          0 |          0 |          0 |
| dbt_project/models/intermediate                                                                                                              |         13 |        471 |        206 |         65 |        742 |
| dbt_project/models/marts                                                                                                                     |         33 |      1,418 |        268 |        104 |      1,790 |
| dbt_project/models/staging                                                                                                                   |         22 |      1,021 |        227 |        145 |      1,393 |
| dbt_project/tests                                                                                                                            |          1 |          7 |          3 |          2 |         12 |
| packages                                                                                                                                     |         44 |      1,518 |      1,207 |        425 |      3,150 |
| packages/core-lib                                                                                                                            |          1 |          0 |          7 |          0 |          7 |
| packages/core-lib/src                                                                                                                        |          1 |          0 |          7 |          0 |          7 |
| packages/core-lib/src/core_lib                                                                                                               |          1 |          0 |          7 |          0 |          7 |
| packages/core-lib/src/core_lib/http                                                                                                          |          1 |          0 |          7 |          0 |          7 |
| packages/hosting                                                                                                                             |         18 |        780 |        539 |        148 |      1,467 |
| packages/hosting/scripts                                                                                                                     |         16 |        782 |        534 |        149 |      1,465 |
| packages/hosting/scripts/neon                                                                                                                |         16 |        782 |        534 |        149 |      1,465 |
| packages/hosting/scripts/neon/migrations                                                                                                     |         16 |        782 |        534 |        149 |      1,465 |
| packages/hosting/src                                                                                                                         |          2 |         -2 |          5 |         -1 |          2 |
| packages/hosting/src/hosting                                                                                                                 |          2 |         -2 |          5 |         -1 |          2 |
| packages/hosting/src/hosting/neon                                                                                                            |          2 |         -2 |          5 |         -1 |          2 |
| packages/ingestion                                                                                                                           |         15 |        265 |        253 |         79 |        597 |
| packages/ingestion/src                                                                                                                       |         13 |         95 |        247 |         33 |        375 |
| packages/ingestion/src/ingestion                                                                                                             |         13 |         95 |        247 |         33 |        375 |
| packages/ingestion/src/ingestion/civicsearch                                                                                                 |          3 |        125 |        312 |         26 |        463 |
| packages/ingestion/src/ingestion/everyorg                                                                                                    |          1 |          1 |          0 |          1 |          2 |
| packages/ingestion/src/ingestion/mdm                                                                                                         |          5 |        267 |        121 |         63 |        451 |
| packages/ingestion/src/ingestion/nces                                                                                                        |          1 |         63 |         18 |         16 |         97 |
| packages/ingestion/src/ingestion/openstates                                                                                                  |          2 |       -244 |       -170 |        -34 |       -448 |
| packages/ingestion/src/ingestion/publication                                                                                                 |          1 |       -117 |        -34 |        -39 |       -190 |
| packages/ingestion/src/ingestion/publication/gold                                                                                            |          1 |       -117 |        -34 |        -39 |       -190 |
| packages/ingestion/tests                                                                                                                     |          2 |        170 |          6 |         46 |        222 |
| packages/scrapers                                                                                                                            |         10 |        473 |        408 |        198 |      1,079 |
| packages/scrapers/src                                                                                                                        |          8 |        211 |        377 |        119 |        707 |
| packages/scrapers/src/scrapers                                                                                                               |          8 |        211 |        377 |        119 |        707 |
| packages/scrapers/src/scrapers/civicsearch                                                                                                   |          4 |        645 |        291 |         95 |      1,031 |
| packages/scrapers/src/scrapers/wikidata                                                                                                      |          2 |        -32 |          0 |          1 |        -31 |
| packages/scrapers/src/scrapers/youtube                                                                                                       |          2 |       -402 |         86 |         23 |       -293 |
| packages/scrapers/tests                                                                                                                      |          2 |        262 |         31 |         79 |        372 |
| r                                                                                                                                            |          4 |        545 |         94 |        117 |        756 |
| r/local_view                                                                                                                                 |          4 |        545 |         94 |        117 |        756 |
| scripts                                                                                                                                      |          3 |         42 |         17 |          5 |         64 |
| scripts (Files)                                                                                                                              |          2 |         54 |         23 |         10 |         87 |
| scripts/enrichment                                                                                                                           |          1 |        -12 |         -6 |         -5 |        -23 |
| tests                                                                                                                                        |          1 |          0 |          4 |          0 |          4 |
| web_app                                                                                                                                      |          4 |         47 |          5 |          1 |         53 |
| web_app/src                                                                                                                                  |          4 |         47 |          5 |          1 |         53 |
| web_app/src/api                                                                                                                              |          1 |          7 |          2 |          1 |         10 |
| web_app/src/components                                                                                                                       |          1 |          0 |          2 |          0 |          2 |
| web_app/src/pages                                                                                                                            |          2 |         40 |          1 |          0 |         41 |
| web_docs                                                                                                                                     |          2 |        307 |          0 |         52 |        359 |
| web_docs/docs                                                                                                                                |          2 |        307 |          0 |         52 |        359 |
| web_docs/docs/dbt                                                                                                                            |          2 |        307 |          0 |         52 |        359 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                     | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/developer/projects/open-navigator/.claude/agents/api-specialist.md                                                                     | Markdown           |        -39 |          0 |         -6 |        -45 |
| /home/developer/projects/open-navigator/.claude/agents/data-dbt-specialist.md                                                                | Markdown           |        -45 |          0 |         -6 |        -51 |
| /home/developer/projects/open-navigator/.claude/agents/frontend-specialist.md                                                                | Markdown           |        -36 |          0 |         -6 |        -42 |
| /home/developer/projects/open-navigator/.claude/agents/python-packages-specialist.md                                                         | Markdown           |        -65 |          0 |         -8 |        -73 |
| /home/developer/projects/open-navigator/.claude/settings.json                                                                                | JSON with Comments |        -26 |          0 |         -1 |        -27 |
